# Spherical harmonic coefficients for the Swarm HEmispherically resolved Ionospheric Convection (SHEIC) model
# Produced 19 July 2023
#
# Based on Swarm convection measurements made between 2013-12 to 2020.
# Reference: Hatch, S. M., Vanhamäki, H., Laundal, K. M., Reistad, J. P., Burchill, J., Lomidze, L., Knudsen, D., Madelaire, M., & Tesfaw, H. (2023). Does high-latitude ionospheric electrodynamics exhibit hemispheric mirror symmetry? EGUsphere, 2023, 1–41. https://doi.org/10.5194/egusphere-2023-2920
#
# Coefficient unit: mV/m
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T)
# 
# column names:
#n m tor_c_const tor_s_const tor_c_sinca tor_s_sinca tor_c_cosca tor_s_cosca tor_c_epsilon tor_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca tor_c_tilt tor_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca tor_c_tau tor_s_tau tor_c_tau_sinca tor_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca tor_c_f107 tor_s_f107 
11 3    0.06061   -0.09522    0.02571    0.01217   -0.01879   -0.03206   -0.00733    0.01092  -0.007741  -0.006154   -0.01615  -0.001249   0.004141  -0.006576  0.0005131    0.01077    0.01236   -0.01062    0.01045   0.004804   -0.01388   -0.01297   -0.02019      0.015  0.0009673    0.00901   0.006067  -0.007634  -0.002907  -0.003836   0.009049    0.02477  -0.004785  -0.007886    0.01133  0.0008562   0.002674    0.01955
12 0   -0.07917        nan   -0.02633        nan  -0.008164        nan    0.02083        nan   0.000613        nan    0.02627        nan   0.003763        nan  -0.007969        nan  -0.006988        nan    0.00566        nan   0.002064        nan   0.001609        nan   0.004416        nan  -0.003493        nan    0.01304        nan   0.006582        nan   -0.00922        nan   0.009938        nan    0.01331        nan
12 1    0.01402    0.02795   -0.08686    0.00517    0.01655    0.01541   0.006173  0.0001476    0.03749  -0.003419   0.003459   -0.01355  -0.006107  -0.008283 -0.0002067   0.007104  0.0001667  -0.001108   0.005005  -0.004175   0.003858   0.004393 -0.0008843  0.0008099   0.006713   0.001698   0.004965  -0.003553  0.0002919  -0.002921  -0.001635   0.001026   0.001398  0.0008214    0.00353   0.003095   0.009237   0.003385
12 2    0.08736     0.1251   0.005404 -4.178e-06   -0.05435     -0.114   0.006133   -0.03941  0.0004147    0.00169    0.01341     0.0178  -0.007477   0.008585   0.002606   -0.01588   -0.01233  -0.003098    0.00424    0.01341   -0.01008   0.008169   0.007541   0.002484    0.01151    0.02797  -0.003897 -0.0007441  -0.000509   -0.02424    0.00757   0.006031     0.0088   0.006198  -0.003468   0.003001   0.003071   -0.00554
12 3   -0.02307   -0.06039   0.006478   -0.01178  0.0002599   -0.01547  -0.004513    0.01212  -0.009016  -0.006128    0.01049    0.01774   0.003408   0.001687   -0.01375  0.0009497   -0.00223   0.003855   0.005429  -0.001518  -0.006472    0.01405 -8.741e-05   -0.01027   0.002453    -0.0089   0.005054   -0.00194   -0.00451    0.01495  -0.001581  0.0005578   0.002854  -0.002502    0.00235    0.01377   -0.01296    0.01007
13 0    -0.0507        nan   -0.02179        nan   0.005668        nan    0.01923        nan   -0.06061        nan    0.01397        nan  -0.005816        nan   0.006221        nan  -0.003215        nan   0.009632        nan   -0.00306        nan -0.0001623        nan  -0.006573        nan   -0.05213        nan    0.01281        nan    0.01996        nan   -0.00106        nan   0.005315        nan    0.02591        nan
13 1    0.04373     0.2407   -0.00321  -0.002915   -0.03174    -0.1659    0.02023  -0.002769  -0.007105  -0.003337    0.02752    0.01085   0.004514  -0.006275    -0.0105    0.01275   0.004726   0.003233   0.006428   -0.01088   0.002404   0.003457   0.001882  -0.007821   0.008783  -0.007088   0.001644   0.004207  -0.002491  -0.009739   0.001015  -0.008895   0.001252  -0.001078   0.003196  -0.005353   0.001942  -0.004929
13 2    -0.0761  -0.002912  0.0009969   0.002932    0.00821  -0.008491     0.0112   0.009847  -0.004913  -0.005207   0.002306    0.00948  -0.006218   8.36e-05   0.002954   0.004982  -0.008419  -0.005014    0.00451     0.0121   0.001417   0.001727   0.005358  -0.007578   0.006228   0.000191   -0.01078  -0.007102   0.001132   0.007059    0.00839   0.006701  -0.006157   0.003417  -0.006228  -0.003005 -0.0004496  -0.003833
13 3    0.03874   -0.03635    0.02423 -0.0005401   -0.01678   -0.01299   -0.02444  0.0007288  -0.008479 -0.0001929   0.006264    0.01753   0.002889   0.005655    -0.0134  -0.007349  -0.002514    0.01418  -0.002624  -0.001186   0.005155    0.01217    0.01554  -0.009535    0.01674   0.002483  -0.006375  -0.006083    -0.0153  -0.004795  -0.002724   -0.01593   0.009922   0.009821  -0.001876    0.00276    -0.0082  -0.007695
14 0      0.028        nan  -0.008041        nan   -0.04421        nan  -0.001589        nan   0.007403        nan   0.008399        nan   0.002921        nan   0.006412        nan  -0.006917        nan  -0.001224        nan -0.0002044        nan  -0.004988        nan   -0.01236        nan   0.007248        nan    0.01751        nan  0.0006728        nan   0.005495        nan  -0.002862        nan  -0.001298        nan
14 1    0.04792    0.01993   -0.07126    0.01622    0.01235    0.00201  -0.007198  -0.008366    0.03233  -0.005775  -0.005464   -0.01066   0.004748   0.003934  -0.005299 -0.0001982  -0.003024    0.00961 -0.0008452  -0.001838   0.004039  -0.004066 -8.735e-05  -0.002147   0.009829   0.003758    0.01025  -0.003048  -0.009314  -0.006654   0.006401  -0.009035  -0.004537 -0.0002019   0.002946  -0.003045   -0.00555  -0.009563
14 2     0.1011     0.1517   0.001506   0.001794   -0.07383   -0.06758  -0.005816    -0.0473   0.003254    0.00411    0.01168   -0.03537  -0.001292   0.001714   0.003233   0.008904   0.008195  0.0006184  -0.003933  -0.005305     0.0086  -0.006728   -0.01291  -0.003811 -0.0002055    0.02409 -0.0007488   0.007334   0.004634   -0.02908  -0.004785   0.005915  -0.003442  -0.004237   0.004135  -0.008328      0.014   0.001328
14 3   -0.03755   -0.06555   0.002672   -0.01875  -0.009318  -0.005243  -0.001955   0.002834  -0.003291   0.002859   0.001092    0.01702  -0.008964    0.00724   0.005206  -0.008753   -0.01393   0.005581  -0.002901   0.002034   0.006968    0.00144   0.008667  -0.001254   0.007085   -0.01019  -0.001129   0.003029  -0.002757   0.004242  -0.004404  -0.007921    0.01058   0.003057   -0.01132  -0.005248 -0.0002025   -0.02011
15 0   -0.03539        nan   -0.05135        nan   0.001684        nan   0.004402        nan   -0.02431        nan -0.0009356        nan  -0.003918        nan   0.005248        nan   0.003623        nan   -0.01221        nan  0.0003757        nan  0.0002847        nan  -0.004625        nan   -0.03182        nan   0.002221        nan    -0.0138        nan   0.003944        nan  -0.006612        nan   -0.01647        nan
15 1     0.1057      0.231    0.00167      -0.02   -0.06871   -0.08946   -0.02352   -0.06928  -0.004336   0.005962  -0.003601  -0.002358 -0.0004024    0.01038   0.004783   -0.01189  -0.001918 -0.0006076   0.001792   -0.00166  -0.002788  0.0005457  -0.001168   0.004741    0.01473   0.001646  0.0004213    0.01042   -0.01801   -0.03033   0.003016 -0.0001938   0.006735   0.004043 -0.0001855   0.007101   -0.01054  0.0004471
